BodyweightKg,BestSquatKg,BestDeadliftKg,RelativeSquatStrength,RelativeDeadliftStrength,Equipment_Raw,Equipment_Single-ply,Equipment_Wraps,Sex_M,AgeCategoryEncoded
74.5,185.0,220.0,2.4832214765100673,2.953020134228188,0.0,1.0,0.0,1.0,5.0
81.8,212.5,247.5,2.597799511002445,3.0256723716381417,1.0,0.0,0.0,0.0,1.0
63.6,145.0,190.0,2.279874213836478,2.9874213836477987,1.0,0.0,0.0,1.0,2.0
82.03,160.0,182.5,1.950505912471047,2.2247958064122884,0.0,1.0,0.0,0.0,2.0
71.6,220.0,190.0,3.0726256983240225,2.653631284916201,1.0,0.0,0.0,1.0,4.0
134.5,317.5,226.8,2.3605947955390336,1.6862453531598514,0.0,0.0,0.0,1.0,1.0
106.68,185.0,217.5,1.7341582302212222,2.0388076490438696,0.0,0.0,1.0,0.0,2.0
100.0,149.69,158.76,1.4969,1.5876,1.0,0.0,0.0,1.0,0.0
84.55,162.5,200.0,1.9219396806623301,2.365464222353637,1.0,0.0,0.0,0.0,1.0
115.7,202.5,192.5,1.7502160760587726,1.6637856525496975,1.0,0.0,0.0,1.0,1.0
81.0,190.0,230.0,2.345679012345679,2.8395061728395063,0.0,0.0,1.0,1.0,2.0
58.0,112.5,152.5,1.9396551724137931,2.6293103448275863,0.0,0.0,1.0,1.0,1.0
51.15,102.5,145.0,2.0039100684261975,2.8347996089931575,0.0,0.0,1.0,0.0,1.0
64.45,172.5,250.0,2.6764934057408842,3.8789759503491075,0.0,1.0,0.0,1.0,1.0
74.88,345.0,260.0,4.607371794871795,3.4722222222222223,0.0,0.0,1.0,1.0,2.0
106.8,180.0,200.0,1.6853932584269664,1.8726591760299627,1.0,0.0,0.0,1.0,2.0
146.0,267.5,295.0,1.832191780821918,2.0205479452054793,1.0,0.0,0.0,0.0,2.0
59.42,147.5,180.0,2.482329182093571,3.0292830696735105,1.0,0.0,0.0,0.0,3.0
124.51,265.0,237.5,2.128343104971488,1.9074773110593526,0.0,0.0,0.0,1.0,2.0
117.1,245.0,242.5,2.0922288642186166,2.070879590093937,1.0,0.0,0.0,1.0,2.0
55.34,115.67,140.61,2.090169859053126,2.54083845319841,1.0,0.0,0.0,1.0,2.0
63.1,147.5,122.5,2.3375594294770203,1.941362916006339,1.0,0.0,0.0,0.0,0.0
61.7,107.5,130.0,1.7423014586709886,2.106969205834684,1.0,0.0,0.0,1.0,3.0
99.38,212.5,232.5,2.138257194606561,2.339504930569531,1.0,0.0,0.0,0.0,3.0
67.35,165.0,215.0,2.4498886414253898,3.1922791388270233,1.0,0.0,0.0,0.0,1.0
82.4,250.0,245.0,3.0339805825242716,2.9733009708737863,1.0,0.0,0.0,1.0,2.0
80.74,175.0,207.5,2.1674510775328217,2.5699777062174882,0.0,0.0,0.0,1.0,2.0
119.2,265.4,272.2,2.2265100671140936,2.283557046979866,1.0,0.0,0.0,1.0,1.0
62.9,117.5,147.5,1.8680445151033387,2.3449920508744038,0.0,1.0,0.0,0.0,2.0
81.21,210.0,227.5,2.5858884373845585,2.8013791404999386,0.0,0.0,1.0,0.0,2.0
108.0,60.0,225.0,0.5555555555555556,2.0833333333333335,1.0,0.0,0.0,1.0,4.0
106.96,185.0,210.0,1.729618548990277,1.9633507853403143,0.0,1.0,0.0,1.0,5.0
73.9,152.5,150.0,2.0635994587280106,2.0297699594046006,0.0,0.0,1.0,1.0,1.0
89.92,226.8,249.48,2.5222419928825626,2.7744661921708182,1.0,0.0,0.0,1.0,1.0
97.9,245.0,300.0,2.5025536261491315,3.0643513789581203,1.0,0.0,0.0,0.0,2.0
89.09,226.8,244.94,2.5457402626557415,2.74935458525087,1.0,0.0,0.0,0.0,1.0
66.15,95.0,120.0,1.4361300075585788,1.8140589569160996,1.0,0.0,0.0,0.0,1.0
51.0,97.5,130.0,1.911764705882353,2.549019607843137,1.0,0.0,0.0,1.0,2.0
88.15,160.0,210.0,1.8150879183210435,2.38230289279637,1.0,0.0,0.0,0.0,1.0
